各部名称。（ブレ軽減）ボタン。カッコ内の用語はアイコンを説明している。,Camera part the  button. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。メニュー操作時では、設定を決定するときに押す。カッコ内の用語はアイコンを説明している。,Camera part. Pressing this button applies a selection. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。ボタンを押すと表示中の画像を削除する。カッコ内の用語はアイコンを説明している。,Camera part. Pressing this button deletes the current picture. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。ボタンを押すと、表示中の画像の暗い部分を明るく補正して別ファイルとして保存する ライティングを行う。カッコ内の用語はアイコンを説明している。,Camera part. Pressing this button creates a copy of the current picture with increased details in shadows. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。フラッシュの光量を調整する際に使用するボタン。,Camera part. The name of a button used to adjust flash level. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。フラッシュのモードを選択するために使用するボタン。,Camera part. The name of a button used to choose the flash mode. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。さまざまな機能を割り当てることができるボタン。カッコ内の用語はアイコンを説明している。,Camera part. FUNC is an abbreviation of function. The user can choose the function performed by this button. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。さまざまな機能を割り当てることができるボタン。カッコ内の用語はアイコンを説明している。,Camera part. The user can choose the function performed by this button. The term in parentheses is represented by Fn in the manuals except when it appears in the list of camera parts.
各部名称。いわゆる「ヘルプボタン」。ボタンを押すと液晶モニターにヘルプが表示される。カッコ内の用語はアイコンを説明している。,Camera part the help button. Pressing this button displays help text in the monitor. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。いわゆる「メニューボタン」。ボタンを押すと、メニューが表示される。カッコ内の用語はアイコンを説明している。,Camera part the menu button. Pressing this button displays the menus. The term in parentheses is represented by MENU in the manuals except when it appears in the list of camera parts.
各部名称。いわゆる「モードボタン」。撮影モード、再生モードやセットアップモードを選択する場合に使用する。カッコ内の用語はアイコンを説明している。,"Camera part the mode button. The name of a button used to select shooting, playback, or setup mode (COOLPIX cameras) or exposure mode ( cameras). The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts."
各部名称。いわゆる「モニターボタン」。ボタンを押すと、モニターの表示が変化する。カッコ内の用語はアイコンを説明している。,Camera part the monitor button. Pressing this button changes the display in the monitor. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。いわゆる。ボタンを押すと、人物撮影に適したに切り替わる。カッコ内の用語はアイコンを説明している。,"Camera part the one touch portrait button, used to select one touch portrait mode. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts."
各部名称。いわゆる「拡大ボタン」。ボタンを押すと、再生画面が拡大される。カッコ内の用語はアイコンを説明している。,"Camera part the playback zoom button, used to zoom in on the picture currently displayed in the monitor. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts."
各部名称。いわゆる「再生ボタン」。ボタンを押すと、撮影した画像が再生される。カッコ内の用語はアイコンを説明している。,Camera part the playback button. Pressing this button displays a picture in the monitor. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
各部名称。いわゆる「プロテクトボタン」。画像を消去しないようにプロテクトをかけることができるボタン。カッコ内の用語はアイコンを説明している。,"Camera part the protect button, used to protect pictures from accidental deletion. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts."
各部名称。いわゆる「設定リセットボタン」。カメラで変更した設定をリセットするボタン。,"Camera part the reset button, used to restore default settings. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts."
各部名称。いわゆる「セルフタイマーボタン」。セルフタイマー撮影を行う際に使用するボタン。,"Camera part the self timer button, used to select self timer mode. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts."
各部名称。いわゆる「撮影設定変更ボタン」。液晶モニターに撮影に関する設定を変更する画面を表示するボタン。,"Camera part the setting button, used to change the shooting settings displayed in the monitor. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts."
各部名称。いわゆる「撮影設定変更ボタン」。ボタンを押すと、液晶モニターに撮影に関する情報が表示される。,"Camera part the shooting information button, used to display shooting settings in the monitor. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts."
各部名称。画像のサムネイルを表示する。ボタンを押すごとに表示するコマ数が増える。拡大した画像を縮小表示する場合にも使用する。,"Camera part the thumbnail button, used to zoom out from the picture currently displayed in the monitor. If the current picture is displayed full frame, the camera will zoom out to thumbnail view. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts."
各部名称。撮影した画像をパソコンに転送する場合に使用するボタン。カッコ内の用語はアイコンを説明している。,Camera part. The term in parentheses is represented by an icon in the manuals except when it appears in the list of camera parts.
情報画面のアイコン名称。「する」に設定すると、画面にこのアイコンが表示され、セルフタイマーやリモコン撮影時に電子音が鳴ります。,An icon indicating whether a beep will sound to indicate that the self timer or remote control is in operation.
各部名称。カメラの時計が設定されていなかったり、リセットされていたりして日時設定の必要があるときに表示されるアイコン,An icon that appears when the camera clock needs to be set.
カメラを縦に構えて撮影すること,Of images Taller than it is wide (aka. portrait orientation). Tall images are taken with the camera in tall or portrait orientation.
 mm判フィルムカメラのフォーマット,The format used in mm film cameras.
年にで導入された測光方式。年に導入された RGBマルチパターン測光の改良版。,Introduced in with the Nikon. A refined version of  color matrix metering system introduced in.
写真撮影用レンズの絞りは、微調整できるようにするために複数枚の板（絞り羽根）を重ね合わせて作られている。枚羽根絞りの場合、枚の羽根で角形ができており、このような絞りを虹彩絞りという。,A type of stop mechanism with multiple overlapping blades offering fine control over aperture. The six blades create a hexagonal opening referred to as an iris diaphragm.
カメラをテレビに接続するための映像と音声用のケーブル。映像と音声信号を送信する。,"A cable used to connect the camera to a standard definition television or video device, supplying both audio and video signals."
スピードライトの発光による被写体からの反射光を外部自動調光用センサー窓で測光し、カメラから伝達されるISO感度・絞り値・焦点距離・露出補正値などの情報を加えて、スピードライトが発光量を制御します。,"The Speedlight built in sensor measures the flash illumination reflected from the subject and controls the flash output in combination with data automatically transmitted from the camera and lens to the Speedlight, including the ISO sensitivity value, the exposure compensation value, the aperture and focal length of the lens."
単 形の電池。直径 mm、高さ約 mm。マンガン、アルカリ、ニッケル、リチウムなどの種類がある。,"Of batteries A cylindrical battery mm long and mm in diameter. Includes R (Zinc carbon), LR (alkaline), HR (nickel metal hydride), and FR (lithium) batteries."
コンセントから引き込んだ交流電源を直流電源に変換する装置。デジタル機器は直流電源を使用するため、コンセントから流れてくる交流電源をそのまま利用することはできない。これを直流電源に変換するのがACアダプターである。,"An accessory for an electronic device (camera) that converts high voltage alternating current (AC) electrical power to a lower, safer voltage. Often provides output power as a rectified direct current (DC) source."
など などのカメラと別売のACアダプター（や）を接続する際に使用するコネクター。,"A connector used to connect some models of camera, including the , and, to an AC adapter such as the or. This term may be used as a proper noun in restricted contexts with a product number such as  when used as a proper noun, it appears in title case (AC Adapter Connector)."
充電器のプラグ。バッテリーまたはACアダプターにケーブルを接続する場合に使用する。,Of power cables The plug that connects the cable to the battery charger or AC adapter.
充電器またはACアダプターの電源コード差し込み口,The connector on the battery charger or AC adapter into which the power cable is inserted.
無線LANで端末間を接続する電波中継機,A device that acts as a bridge between wireless devices and a wireless network.
